School code(s),School full name,Level of schooling,School short name,NSSC total FTE students ,Postcode,Street,Subtype,Town/suburb,Status,Region,SEG,SEA,Local Government Area (LGA - Current),College number,Local Government Area (LGA - Old),SLA,NSW Electorate (2023),NSW Electorate (2015),NSW Electorate (Old),Fed. electorate,Old Fed. electorate,School Performance Directorate,School Performance Area,Educational Services Team,Principal Network,FACS District,AusGovID,Old AusGovID,Org unit No,School population gender,Selective school,Sch specialty type,Preschool indicator,Distance ed.,MCEECDYA Remoteness,ASGS Remoteness,Rural and Remote,IEC,Staff classification,Exec classification,Priority school,Demonstration,Postal 1,Postal 2,Phone 1,Phone 2,School website,School email,Fax 1,Fax 2,Late opening,School division,Heat allowance,Yancowinna,Isothermic,Socio-economic,Transfer points,NSW Electorate Code (2023),Date 1st teacher,Date teaching ceased,Date closed,SEA code,Region code,LGA code,Old LGA code,SLA code,NSW Electorate Code (2015),NSW Electorate Code (Old),Federal electorate code,Old Federal electorate code,SEG code,Executive Director Code,Educational Services Team Code,Principal Network Code,ARIA Plus SA1 Avg,Principal Name,Principal Email,School Planning Region,Primary Cluster Code,Primary Cluster Name,Primary Cluster Region,Secondary Cluster Code,Secondary Cluster Name,Secondary Cluster Region,Combined Cluster Code,Combined Cluster Name,Combined Cluster Region,SSP Cluster Code,SSP Cluster Name,SSP Cluster Region
1016,Timbumburi Public School,Primary School,Timbumburi,147,2340,542 Kia Ora Lane,K to 6 ,Timbumburi ,Open,New England,New England South,Tamworth,Tamworth Regional (A),0,Tamworth Regional (A),Tamworth Regional (A) - Pt B,Tamworth,Tamworth,Tamworth,New England,New England,Rural North,School Performance North,Tamworth,Peel,Hunter New England & Central Coast,49357,9357,22,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6767 0232,,https://timbumburi-p.schools.nsw.gov.au,timbumburi-p.school@det.nsw.edu.au,6767 0245,,No,E,N,N,N,9,1,23,1/02/1911,,,338,536,17310,17310,17314,17,80,30,31,654,26062,24685,26077,2.71,"Kibble, Jane                            ",jane.kibble@det.nsw.edu.au                                                                                                      ,New England - North West,10194,Tamworth Primary,New England - North West,,,,,,,,,
1017,Albury Public School,Primary School,Albury,608,2640,481 David St,K to 6 ,Albury ,Open,Riverina,Riverina South,Albury,Albury (C),0,Albury (C),Albury (C),Albury,Albury,Albury,Farrer,Farrer,Rural South and West,School Performance South,Wagga Wagga,Albury,"Murrumbidgee, Far West & Western NSW",50441,10441,23,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,PO Box 547,Albury 2640,02 6021 3849,02 6021 3707,https://albury-p.schools.nsw.gov.au,albury-p.school@det.nsw.edu.au,02 6041 1265,,No,E,N,N,N,0,1,908,01/07/1850,,,301,537,10050,10050,10050,7,1,14,15,656,26084,24706,26085,0.66,"Singleton, Lianne                       ",lianne.singleton@det.nsw.edu.au                                                                                                 ,Riverina - Murray,10112,Albury City Primary,Riverina - Murray,,,,,,,,,
1019,Albury West Public School,Primary School,Albury West,153,2640,Mott St,K to 6 ,Albury ,Open,Riverina,Riverina South,Albury,Albury (C),0,Albury (C),Albury (C),Albury,Albury,Albury,Farrer,Farrer,Rural South and West,School Performance South,Wagga Wagga,Albury,"Murrumbidgee, Far West & Western NSW",50442,10442,24,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,Yes,N,PO Box 3245,Albury 2640,6021 2288,6021 2317,https://alburywest-p.schools.nsw.gov.au,alburywest-p.school@det.nsw.edu.au,6041 3783,,No,E,N,N,N,0,1,908,1/01/1936,,,301,537,10050,10050,10050,7,1,14,15,656,26084,24706,26085,0.66,"Julien, Sharon                          ",sharon.julien@det.nsw.edu.au                                                                                                    ,Riverina - Murray,10112,Albury City Primary,Riverina - Murray,,,,,,,,,
1022,Alexandria Public School,Primary School,Alexandria,,2015,Mitchell Rd,K to 6 ,Alexandria,Closed,Sydney,Not Known,Not Defined,Sydney (C),0,Sydney (C),Sydney (C) - South,Newtown,Heffron,Heffron,Sydney,Sydney,Unassigned,,Unassigned,Unassigned,"South Eastern Sydney, Northern Sydney & Sydney",5333,5333,5013003,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9557 1101,,Not currently available,,9550 6284,,No,,N,N,N,0,1,67,01/10/1890,20/12/2002,20/12/2002,-1,530,17200,17200,17205,92,35,42,43,0,-1,-1,-1,0,,,,,,,,,,,,,,,
1028,Alma Public School,Primary School,Alma,271,2880,Comstock St,K to 6 ,Broken Hill ,Open,Western NSW,Broken Hill,Broken Hill,Broken Hill (C),0,Broken Hill (C),Broken Hill (C),Barwon,Barwon,Murray-Darling,Parkes,Farrer,Rural South and West,School Performance South,Wagga Wagga,Far West,"Murrumbidgee, Far West & Western NSW",51109,11109,25,Coed School,N,Comprehensive,Yes,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,Yes,N,,,08 8088 2181,,https://alma-p.schools.nsw.gov.au,alma-p.school@det.nsw.edu.au,08 8087 3691,,Yes,W,Y,Y,N,0,6,57,01/01/1889,,,309,539,11250,11250,11250,5,57,34,15,677,26084,24706,26091,3.35,"Webb, Patricia                          ",trish.webb@det.nsw.edu.au                                                                                                       ,Far West,10137,Broken Hill Primary,Far West,,,,,,,40003,Far West SSP,Far West
1030,Alstonville Public School,Primary School,Alstonville,347,2477,Main St,K to 6 ,Alstonville ,Open,North Coast,Southern Cross,Lismore,Ballina (A),0,Ballina (A),Ballina (A),Ballina,Ballina,Ballina,Page,Page,Rural North,School Performance North,Tamworth,Lennox Coast,Mid North Coast & Northern NSW,49761,9761,26,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,02 6628 0775,,https://alstonvill-p.schools.nsw.gov.au,alstonvill-p.school@det.nsw.edu.au,02 6628 5362,,No,E,N,N,N,0,1,86,01/01/1875,,,320,535,10250,10250,10250,3,3,33,34,633,26062,24685,26070,0.69,"Flannery, Peter                         ",peter.flannery@det.nsw.edu.au                                                                                                   ,North Coast,10145,Alstonville Primary,North Coast,,,,,,,,,
1035,Ando Public School,Primary School,Ando,,2631,Monaro Hwy,K to 6 ,Ando ,Closed,Illawarra and South East,Sapphire Coast/Monaro,Batemans Bay,Snowy Monaro Regional (A),0,Bombala (A),Bombala (A),Monaro,Monaro,Monaro,Eden-Monaro,Eden-Monaro,Unassigned,,Unassigned,Unassigned,Illawarra Shoalhaven & Southern NSW,10433,10433,27,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6458 6634,,Not currently available,ando-p.school@det.nsw.edu.au,6458 6664,,No,E,N,N,Y,8,4,3719,1/01/1914,27/01/2012,13/06/2012,304,538,17040,11000,11000,10,54,13,14,665,-1,-1,-1,3.62,,,,,,,,,,,,,,,
1040,Anna Bay Public School,Primary School,Anna Bay,372,2316,191 Gan Gan Rd,K to 6 ,Anna Bay ,Open,Hunter/Central Coast,H/CC4,Maitland,Port Stephens (A),0,Port Stephens (A),Port Stephens (A),Port Stephens,Port Stephens,Port Stephens,Paterson,Paterson,Regional North,School Performance North,Tamworth,Port Stephens,Hunter New England & Central Coast,49126,9126,28,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Inner Regional Australia,Yes,No,,,No,N,,,4982 1187,,https://annabay-p.schools.nsw.gov.au,annabay-p.school@det.nsw.edu.au,4982 1879,,No,E,N,N,N,0,1,6960,01/11/1879,,,322,534,16400,16400,16400,26,70,36,37,645,26027,24685,26042,0.55,"Swanson, Rebecca                        ",anna.swanson3@det.nsw.edu.au                                                                                                    ,Hunter,10129,Port Stephens Primary,Hunter,,,,,,,,,
1041,Annandale Public School,Primary School,Annandale,409,2038,25 Johnston St,K to 6 ,Annandale ,Open,Sydney,Port Jackson,Port Jackson,Inner West (A),0,Leichhardt (A),Leichhardt (A),Balmain,Balmain,Balmain,Grayndler,Sydney,Metropolitan South,School Performance South,Ultimo,Iron Cove,"South Eastern Sydney, Northern Sydney & Sydney",45497,5497,29,Coed School,N,Comprehensive,Yes,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9516 3711,9516 3942,https://annandale-p.schools.nsw.gov.au,annandale-p.school@det.nsw.edu.au,9550 4581,,No,E,N,N,N,0,1,6,01/08/1886,,,331,530,14170,14800,14800,90,4,17,43,601,26008,24663,26018,0,"Lupton, Lisa                            ",lisa.lupton@det.nsw.edu.au                                                                                                      ,Metropolitan Sydney,10018,Orange Grove Primary,Metro - Central,,,,,,,40006,Metro / Central SSP,Metro - Central
1042,Annandale North Public School,Primary School,Annandale North,398,2038,206 Johnston St,K to 6 ,Annandale ,Open,Sydney,Network 8,Port Jackson,Inner West (A),0,Leichhardt (A),Leichhardt (A),Balmain,Balmain,Balmain,Grayndler,Sydney,Metropolitan South,School Performance South,Ultimo,Iron Cove,"South Eastern Sydney, Northern Sydney & Sydney",44930,4930,30,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9660 3972,9660 3825,https://annandalen-p.schools.nsw.gov.au,annandalen-p.school@det.nsw.edu.au,9692 8323,,No,E,N,N,N,0,1,6,1/05/1907,,,331,530,14170,14800,14800,90,4,17,43,606,26008,24663,26018,0,"Nicol, Samantha                         ",samantha.nicol1@det.nsw.edu.au,Metropolitan Sydney,10018,Orange Grove Primary,Metro - Central,,,,,,,,,
1045,Appin Public School,Primary School,Appin,355,2560,97 Appin Road,K to 6 ,APPIN,Open,South Western Sydney,Campbelltown,Campbelltown,Wollondilly (A),0,Wollondilly (A),Wollondilly (A),Campbelltown,Wollondilly,Wollondilly,Hume,Macarthur,Regional South,School Performance South,Ultimo,Camden,South Western Sydney,50197,10197,31,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Inner Regional Australia,Yes,No,,,No,N,,,4631 1220,,https://appin-p.schools.nsw.gov.au,appin-p.school@det.nsw.edu.au,4631 1486,,No,E,N,N,N,0,1,59,01/01/1868,,,310,532,18400,18400,18400,40,91,20,26,615,26045,24663,26046,0.27,"Webb, Anne                              ",anne.s.webb@det.nsw.edu.au,Metropolitan Sydney,10060,Appin Primary,Metro - South West,,,,,,,,,
1048,Arcadia Public School,Primary School,Arcadia,77,2159,140 Arcadia Road,K to 6 ,ARCADIA,Open,Northern Sydney,Hornsby Network,Hornsby,Hornsby (A),0,Hornsby (A),Hornsby (A) - North,Hornsby,Hornsby,Hawkesbury,Berowra,Berowra,Regional North,School Performance North,Macquarie Park,Windsor,"South Eastern Sydney, Northern Sydney & Sydney",57392,17392,32,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Inner Regional Australia,Yes,No,,,No,N,,,9653 1207,,https://arcadia-p.schools.nsw.gov.au,arcadia-p.school@det.nsw.edu.au,9653 2697,,No,E,N,N,N,0,1,89,01/05/1894,,,318,531,14000,14000,14001,59,33,4,4,608,26027,24625,26043,0.24,"Pattison, Nicole                        ",nicole.pattison@det.nsw.edu.au                                                                                                  ,Metropolitan Sydney,10090,Dural Primary,Metro - North,,,,,,,,,
1051,Ardlethan Central School,Central/Community School,Ardlethan Central,55.8,2665,Mithul St,K to 12,Ardlethan ,Open,Riverina,Riverina North West,Griffith,Coolamon (A),0,Coolamon (A),Coolamon (A),Cootamundra,Cootamundra,Murrumbidgee,Riverina,Riverina,Rural South and West,School Performance South,Wagga Wagga,West Wyalong,"Murrumbidgee, Far West & Western NSW",50519,10519,33,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6978 2046,,https://ardlethan-c.schools.nsw.gov.au,ardlethan-c.school@det.nsw.edu.au,6978 2202,,No,C,N,N,N,8,4,54,1/01/1910,,,317,537,12000,12000,12000,9,58,39,40,659,26084,24706,26104,4.38,"Lloyd, Grant                            ",grant.lloyd1@det.nsw.edu.au                                                                                                     ,Riverina - Murray,10220,Griffith Primary,Riverina - Murray,20124,Griffith Secondary,Riverina - Murray,,,,,,
1055,Ariah Park Central School,Central/Community School,Ariah Park Central,138.6,2665,Reid St,K to 12,Ariah Park ,Open,Riverina,Riverina Central,Griffith,Temora (A),0,Temora (A),Temora (A),Cootamundra,Cootamundra,Murrumbidgee,Riverina,Riverina,Rural South and West,School Performance South,Wagga Wagga,West Wyalong,"Murrumbidgee, Far West & Western NSW",50520,10520,34,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6974 1105,,https://ariahpark-c.schools.nsw.gov.au,ariahpark-c.school@det.nsw.edu.au,6974 1017,,No,C,N,N,N,9,4,54,01/04/1899,,,317,537,17350,17350,17350,9,58,39,40,660,26084,24706,26104,3.96,"Horne, Bianca                           ",bianca.horne6@det.nsw.edu.au                                                                                                    ,Riverina - Murray,10219,Cootamundra RM Primary,Riverina - Murray,20123,Cootamundra RM Secondary,Riverina - Murray,,,,,,
1057,Armidale City Public School,Primary School,Armidale City,392,2350,Faulkner St,K to 6 ,Armidale ,Open,New England,New England Central,Armidale,Armidale Regional (A),0,Armidale Dumaresq (A),Armidale Dumaresq (A) - City,Northern Tablelands,Northern Tablelands,Northern Tablelands,New England,New England,Rural North,School Performance North,Tamworth,Armidale,Hunter New England & Central Coast,49372,9372,35,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6772 3420,6772 4312,https://armidalec-p.schools.nsw.gov.au,armidalec-p.school@det.nsw.edu.au,6771 2262,,No,E,N,N,Y,0,1,62,01/06/1861,,,302,536,10130,10110,10111,15,62,30,31,653,26062,24685,26063,2.17,"Nay, Deborah                            ",deborah.nay@det.nsw.edu.au                                                                                                      ,New England - North West,10146,Armidale Primary,New England - North West,,,,,,,,,
1058,Drummond Memorial Public School,Primary School,Drummond Memorial,173,2350,250 Rusden Street,K to 6 ,ARMIDALE,Open,New England,New England Central,Armidale,Armidale Regional (A),0,Armidale Dumaresq (A),Armidale Dumaresq (A) - City,Northern Tablelands,Northern Tablelands,Northern Tablelands,New England,New England,Rural North,School Performance North,Tamworth,Armidale,Hunter New England & Central Coast,49376,9376,36,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,Yes,N,,,6772 3736,6772 6482,https://drummondm-p.schools.nsw.gov.au,drummondm-p.school@det.nsw.edu.au,6771 2275,,No,E,N,N,Y,0,1,62,01/10/1890,,,302,536,10130,10110,10111,15,62,30,31,653,26062,24685,26063,2.17,"Crompton, Julianne                      ",julianne.crompton@det.nsw.edu.au,New England - North West,10146,Armidale Primary,New England - North West,,,,,,,40013,New England-North West SSP,New England - North West
1061,Artarmon Public School,Primary School,Artarmon,1260,2064,McMillan Rd,K to 6 ,Artarmon ,Open,Northern Sydney,Middle Harbour Network,Northern Beaches,Willoughby (C),0,Willoughby (C),Willoughby (C),Willoughby,Lane Cove,Lane Cove,North Sydney,North Sydney,Metropolitan North,School Performance North,Macquarie Park,Gordon,"South Eastern Sydney, Northern Sydney & Sydney",47612,7612,37,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9411 1950,9411 1062,https://artarmon-p.schools.nsw.gov.au,artarmon-p.school@det.nsw.edu.au,9415 1243,,No,E,N,N,N,0,1,40,1/10/1910,,,327,531,18250,18250,18250,66,43,32,33,611,25990,24625,25996,0,"Coombes, Jonathon                       ",jonathon.coombes@det.nsw.edu.au                                                                                                 ,Metropolitan Sydney,10027,Chatswood Primary,Metro - North,,,,,,,,,
1064,Ashbury Public School,Primary School,Ashbury,380,2193,Trevenar St,K to 6 ,Ashbury,Open,Sydney,Inner West,St George,Canterbury-Bankstown (A),0,Canterbury (C),Canterbury (C),Summer Hill,Summer Hill,Canterbury,Watson,Grayndler,Metropolitan South,School Performance South,Ultimo,Canterbury,"South Eastern Sydney, Northern Sydney & Sydney",47773,7773,38,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9798 4509,9798 9135,https://ashbury-p.schools.nsw.gov.au,ashbury-p.school@det.nsw.edu.au,9716 8089,,No,E,N,N,N,0,1,70,1/05/1924,,,336,530,11570,11550,11550,93,16,44,18,602,26008,24663,26014,0,"Heinecke, Benjamin                      ",benjamin.heinecke@det.nsw.edu.au                                                                                                ,Metropolitan Sydney,10024,Canterbury Primary,Metro - South,,,,,,,,,
1065,Ashfield Public School,Primary School,Ashfield,481,2131,Liverpool Rd,K to 6 ,Ashfield ,Open,Sydney,Inner West,Port Jackson,Inner West (A),0,Ashfield (A),Ashfield (A),Summer Hill,Summer Hill,Strathfield,Grayndler,Grayndler,Metropolitan South,School Performance South,Ultimo,Canterbury,"South Eastern Sydney, Northern Sydney & Sydney",47774,7774,39,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,PO Box 70,Ashfield 1800,9798 4400,,https://ashfield-p.schools.nsw.gov.au,ashfield-p.school@det.nsw.edu.au,9716 7250,,No,E,N,N,N,0,1,70,01/01/1862,,,331,530,14170,10150,10150,93,77,17,18,602,26008,24663,26014,0,"Moran, Damien                           ",damien.moran@det.nsw.edu.au                                                                                                     ,Metropolitan Sydney,10022,Burwood Primary,Metro - Central,,,,,,,40006,Metro / Central SSP,Metro - Central
1066,Ashford Central School,Central/Community School,Ashford Central,130,2361,Albury St,K to 12,Ashford ,Open,New England,New England North,Armidale,Inverell (A),0,Inverell (A),Inverell (A) - Pt A,Northern Tablelands,Northern Tablelands,Northern Tablelands,New England,New England,Rural North,School Performance North,Tamworth,Northern Tablelands,Hunter New England & Central Coast,49412,9412,40,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,Yes,N,,,6725 4101,,https://ashford-c.schools.nsw.gov.au,ashford-c.school@det.nsw.edu.au,6725 4336,,Yes,E,Y,N,N,7,4,62,01/01/1868,,,302,536,14200,14200,14201,15,62,30,31,652,26062,24685,26076,4.93,"Skewes, Toni                            ",toni.skewes@det.nsw.edu.au                                                                                                      ,New England - North West,10147,Ashford Primary,New England - North West,20064,Ashford Secondary,New England - North West,,,,,,
